IP,Port,
213.136.89.121,80,
89.38.144.95,80,
176.15.163.199,53281,
51.15.222.119,80,
67.63.33.7,80,
47.52.61.212,8080,
77.73.67.74,3128,
89.38.146.15,80,
61.7.190.144,3128,
213.136.77.246,80,
35.201.139.120,8080,
47.52.222.165,80,
89.236.17.108,3128,
47.88.242.10,80,
5.189.133.231,80,
185.82.212.95,8080,
47.89.41.164,80,
173.212.202.65,443,
154.119.50.246,53281,
93.56.36.90,8080,
168.121.27.26,53281,
110.77.188.74,42619,
110.78.148.167,42421,
202.73.51.102,80,
187.189.26.23,53281,
111.125.87.199,53281,
184.178.217.66,3128,
212.83.164.85,80,
97.72.87.94,87,
200.255.122.170,8080,
97.73.190.38,87,
138.0.207.65,8080,
167.88.171.13,3128,
80.245.117.134,8080,
103.12.246.10,8080,
185.91.171.155,8081,
180.234.223.90,8080,
110.170.150.48,8080,
137.117.227.221,3128,
188.130.230.40,8081,
91.236.94.49,8080,
213.168.210.76,80,
36.73.110.187,8080,
103.105.125.6,8080,
95.73.53.137,8080,
103.12.246.12,8080,
103.216.147.61,8080,
89.144.21.141,3128,
85.114.107.34,8080,
37.204.183.52,8081,
88.8.95.95,8080,
190.192.29.56,53281,
179.107.54.140,80,
36.76.110.197,8080,
118.96.156.45,8080,
180.183.90.107,8080,
5.153.138.226,8080,
185.170.201.214,53281,
41.46.235.176,8080,
114.6.197.138,8080,
191.189.145.228,8080,
203.95.220.110,53281,
177.128.224.15,8080,
168.121.205.26,8080,
203.189.136.139,8080,
82.137.250.69,8080,
212.98.129.66,8080,
179.189.248.172,8080,
183.182.107.154,8080,
139.255.104.226,8080,
103.239.253.163,8080,
191.242.172.47,8080,
41.232.112.5,8080,
197.32.188.225,8080,
103.245.77.56,8080,
36.88.36.150,8080,
190.131.203.90,3128,
86.126.84.50,8080,
182.253.34.15,8080,
84.143.225.239,8080,
